iso,year,gdp_pc_ppp,population,reserves_oil,reserves_gas,reserves_coal,coc,hdi,emissions_total,log_gdp_pc_ppp
ESP,2005,31028.9967719752,43653155.0,0.0005740839181748175,0.058380934894625605,0.02847279783878289,1.34,0.7390000000000001,451719189.733832,10.342677426013397
ESP,2006,31760.602539082203,44397319.0,0.000564461432076397,0.057402385040412014,0.02847279783878289,1.19,0.745,443538351.70142585,10.365981886814684
ESP,2007,32301.9690040863,45226803.0,0.0005273009254232954,0.056349594288148105,0.02847279783878289,1.09,0.752,459545933.8062578,10.382883467231602
ESP,2008,32072.764593173302,45954106.0,0.0005189554786646719,0.05545776475338243,0.02847279783878289,1.19,0.759,424929403.58322775,10.375762493935074
ESP,2009,30593.609837518998,46362946.0,0.0005143792000585353,0.0549687243774371,0.02822171761906588,1.06,0.765,387942969.18676525,10.328546437293445
ESP,2010,30502.7197080776,46576897.0,0.0005120163989420993,0.054716225514121294,0.028092081144864587,1.17,0.7809999999999999,374581205.4097706,10.32557112937667
ESP,2011,30146.9992402473,46742697.0,0.0005102002367522154,0.054522142785214125,0.027992436337167276,1.17,0.795,374784734.0708463,10.313840669515466
ESP,2012,29235.8286869685,46773055.0,0.0005098690918486524,0.054486755248294126,0.027974267877092906,1.18,0.8029999999999999,366348981.16828966,10.283150245922712
ESP,2013,28910.7558426965,46620045.0,0.0005115425151528076,0.054665584299629054,0.028066081231796318,0.93,0.804,339954605.86774206,10.271968979348546
ESP,2014,29398.610306529703,46480882.0,0.0005130740650712495,0.05482925216436297,0.028150110619673693,0.69,0.816,338224586.54001486,10.288702683724198
ESP,2015,30549.7918140542,46444832.0,0.0005134723078735019,0.054871810064895915,0.028171960445459245,0.67,0.8270000000000001,353406639.6255431,10.327113149979278
ESP,2016,31449.6177172688,46484062.0,0.0005130389653950009,0.05482550126535843,0.02814818485527362,0.61,0.8320000000000001,344669277.62946916,10.356142106800936
ESP,2017,32282.903847024303,46593236.0,0.0005118368485038701,0.054697037999249506,0.028082230004372304,0.55,0.836,360855212.03365856,10.382293076424153
ESP,2018,32949.581981857096,46797754.0,0.0005095999922525569,0.05445799813384206,0.02795950356933796,0.65,0.838,356377044.9013468,10.402733853411851
ESP,2019,32949.581981857096,47133521.0,0.000505969733851139,0.05407005345516198,0.027760327305061717,0.7,0.831,343034626.8945741,10.402733853411851
ESP,2020,32949.581981857096,47351567.0,0.0005036398283469072,0.05382106995529841,0.027760327305061717,0.74,0.831,,10.402733853411851
FRA,1960,12743.925100567,46621688.0,0.00014411096357971995,3.2340637520618998,0.0,1.25,0.631,,9.452809974341525
FRA,1961,13203.320855599099,47240526.0,0.00014411096357971995,3.2340637520618998,0.0,1.25,0.631,,9.488223656903157
FRA,1962,13911.2550486369,47904879.0,0.00014411096357971995,3.2340637520618998,0.0,1.25,0.631,,9.540453507205129
FRA,1963,14572.276952743401,48582624.0,0.00014411096357971995,3.2340637520618998,0.0,1.25,0.631,,9.586876163763343
FRA,1964,15337.0768157374,49230585.0,0.00014411096357971995,3.2340637520618998,0.0,1.25,0.631,,9.638028497162551
FRA,1965,15893.049744643798,49818019.0,0.00014411096357971995,3.2340637520618998,0.0,1.25,0.631,,9.673637169663845
FRA,1966,16557.4811241046,50330268.0,0.00014411096357971995,3.2340637520618998,0.0,1.25,0.631,,9.714593310337625
FRA,1967,17219.8662554722,50775788.0,0.00014411096357971995,3.2340637520618998,0.0,1.25,0.631,,9.753819011138098
FRA,1968,17852.724547602098,51175507.0,0.00014411096357971995,3.2340637520618998,0.0,1.25,0.631,,9.789911411280144
FRA,1969,18978.6879654108,51561833.0,0.00014411096357971995,3.2340637520618998,0.0,1.25,0.631,,9.851071942556967
FRA,1970,19984.589604559198,51957747.0,0.00014411096357971995,3.2340637520618998,0.0,1.25,0.631,635117927.5951861,9.902716735761155
FRA,1971,20880.893340514398,52371320.0,0.00014411096357971995,3.2340637520618998,0.0,1.25,0.631,646600202.4045371,9.946589825588738
FRA,1972,21648.5522649626,52793151.0,0.00014411096357971995,3.2340637520618998,0.0,1.25,0.631,663528050.1769171,9.982693861216106
